# epochs,alpha,scale,low,acc,,,scale,acc
10,0.001,16,0.06,0.2427,,,,
10,0.005,16,0.06,0.2535,,,,
10,0.0005,16,0.065,0.2243,,,,
10,0.001,16,0.065,0.2304,,,,
10,0.005,16,0.065,0.2288,,,,
10,0.0005,16,0.07,0.2044,,,,
10,0.001,16,0.07,0.2053,,,,
10,0.005,16,0.07,0.209,,,,
10,0.0005,16,0.075,0.1837,,,,
10,0.001,16,0.075,0.1937,,,,
10,0.005,16,0.075,0.1909,,,,
10,0.0005,16,0.08,0.1703,,,,
10,0.001,16,0.08,0.1734,,,,
10,0.005,16,0.08,0.1781,,,,
10,0.0005,16,0.085,0.1624,,,,
10,0.001,16,0.085,0.166,,,,
10,0.005,16,0.085,0.1675,,,,
10,0.0005,16,0.09,0.1468,,,,
10,0.001,16,0.09,0.1584,,,,
10,0.005,16,0.09,0.159,,,,
10,0.0005,16,0.095,0.1422,,,,
10,0.001,16,0.095,0.1464,,,,
10,0.005,16,0.095,0.1525,,,,
10,0.0005,16,0.1,0.1325,,,,
10,0.001,16,0.1,0.1386,,,,
10,0.005,16,0.1,0.1451,,,,
10,0.0005,32,0.005,0.8809,0.9019,,,
10,0.001,32,0.005,0.8751,,,,
10,0.005,32,0.005,0.837,,,,
10,0.0005,32,0.01,0.9019,,,,
10,0.001,32,0.01,0.9014,,,,
10,0.005,32,0.01,0.8869,,,,
10,0.0005,32,0.015,0.8039,,,,
10,0.001,32,0.015,0.8056,,,,
10,0.005,32,0.015,0.7993,,,,
10,0.0005,32,0.02,0.5839,,,,
10,0.001,32,0.02,0.5726,,,,
10,0.005,32,0.02,0.5523,,,,
10,0.0005,32,0.025,0.3753,,,,
10,0.001,32,0.025,0.363,,,,
10,0.005,32,0.025,0.363,,,,
10,0.0005,32,0.03,0.2596,,,,
10,0.001,32,0.03,0.2613,,,,
10,0.005,32,0.03,0.27,,,,
10,0.0005,32,0.035,0.2052,,,,
10,0.001,32,0.035,0.214,,,,
10,0.005,32,0.035,0.2166,,,,
10,0.0005,32,0.04,0.1817,,,,
10,0.001,32,0.04,0.1863,,,,
10,0.005,32,0.04,0.1861,,,,
10,0.0005,32,0.045,0.1592,,,,
10,0.001,32,0.045,0.1646,,,,
10,0.005,32,0.045,0.1665,,,,
10,0.0005,32,0.05,0.1412,,,,
10,0.001,32,0.05,0.1403,,,,
10,0.005,32,0.05,0.1516,,,,
10,0.0005,32,0.055,0.127,,,,
10,0.001,32,0.055,0.135,,,,
10,0.005,32,0.055,0.1314,,,,
10,0.0005,32,0.06,0.1187,,,,
10,0.001,32,0.06,0.1173,,,,
10,0.005,32,0.06,0.1224,,,,
10,0.0005,32,0.065,0.1141,,,,
10,0.001,32,0.065,0.1139,,,,
10,0.005,32,0.065,0.1168,,,,
10,0.0005,32,0.07,0.104,,,,
10,0.001,32,0.07,0.107,,,,
10,0.005,32,0.07,0.1119,,,,
10,0.0005,32,0.075,0.1021,,,,
10,0.001,32,0.075,0.104,,,,
10,0.005,32,0.075,0.107,,,,
10,0.0005,32,0.08,0.1009,,,,
10,0.001,32,0.08,0.1012,,,,
10,0.005,32,0.08,0.1023,,,,
10,0.0005,32,0.085,0.0997,,,,
10,0.001,32,0.085,0.1003,,,,
10,0.005,32,0.085,0.101,,,,
10,0.0005,32,0.09,0.0993,,,,
10,0.001,32,0.09,0.0991,,,,
10,0.005,32,0.09,0.0994,,,,
10,0.0005,32,0.095,0.0985,,,,
10,0.001,32,0.095,0.0988,,,,
10,0.005,32,0.095,0.0992,,,,
10,0.0005,32,0.1,0.0981,,,,
10,0.001,32,0.1,0.0988,,,,
10,0.005,32,0.1,0.0991,,,,
